tag	data
0	I. What kinds of information do we collect?
0	"To provide the Facebook Products, we must process information about you."
0	The types of information we collect depend on how you use our Products. 
0	You can learn how to access and delete information we collect by visiting the Facebook Settings and Instagram Settings.
0	Things you and others do and provide.
0	Information and content you provide.
0	"We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others. "
0	" This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created."
0	"It can also include what you see through features we provide, such as our camera, so we can do things like suggest masks and filters that you might like, or give you tips on using camera formats."
0	Our systems automatically process content and communications you and others provide to analyze context and what's in them for the purposes described below. 
0	Learn more about how you can control who can see the things you share.
0	"Data with special protections: You can choose to provide information in your Facebook profile fields or Life Events about your religious views, political views, who you are ""interested in,"" or your health."
0	"This and other information (such as racial or ethnic origin, philosophical beliefs or trade union membership) could be subject to special protections under the laws of your country."
0	Networks and connections.
0	"We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of."
0	Your usage. 
0	"We collect information about how you use our Products, such as the types of content you view or engage with; the features you use; the actions you take; the people or accounts you interact with; and the time, frequency and duration of your activities."
0	"For example, we log when you're using and have last used our Products, and what posts, videos and other content you view on our Products. "
0	We also collect information about how you use features like our camera.
0	Information about transactions made on our Products.
1	" If you use our Products for purchases or other financial transactions (such as when you make a purchase in a game or make a donation), we collect information about the purchase or transaction."
1	"This includes payment information, such as your credit or debit card number and other card information; other account and authentication information; and billing, shipping and contact details."
0	Things others do and information they provide about you. 
0	"We also receive and analyze content, communications and information that other people provide when they use our Products. "
0	Device Information
0	"As described below, we collect information from and about the computers, phones, connected TVs and other web-connected devices you use that integrate with our Products, and we combine this information across different devices you use."
0	"For example, we use information collected about your use of our Products on your phone to better personalize the content (including ads) or features you see when you use our Products on another device, such as your laptop or tablet, or to measure whether you took an action in response to an ad we showed you on your phone on a different device."
0	Information we obtain from these devices includes:
0	"Device attributes: information such as the operating system, hardware and software versions, battery level, signal strength, available storage space, browser type, app and file names and types, and plugins."
0	"Device operations: information about operations and behaviors performed on the device, such as whether a window is foregrounded or backgrounded, or mouse movements (which can help distinguish humans from bots)."
0	"Identifiers: unique identifiers, device IDs, and other identifiers, such as from games, apps or accounts you use, and Family Device IDs (or other identifiers unique to Facebook Company Products associated with the same device or account)."
0	"Device signals: Bluetooth signals, and information about nearby Wi-Fi access points, beacons, and cell towers."
0	"Data from device settings: information you allow us to receive through device settings you turn on, such as access to your GPS location, camera or photos."
0	"Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV."
0	"Cookie data: data from cookies stored on your device, including cookie IDs and settings."
0	Learn more about how we use cookies in the Facebook Cookies Policy and Instagram Cookies Policy.
0	II. How do we use this information?
0	We use the information we have (subject to choices you make) as described below and to provide and support the Facebook Products and related services described in the Facebook Terms and Instagram Terms. Here's how:
0	"Provide, personalize and improve our Products."
0	"We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. "
0	"To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products."
0	"Learn more about how we use information about you to personalize your Facebook and Instagram experience, including features, content and recommendations in Facebook Products; you can also learn more about how we choose the ads that you see."
0	"Information across Facebook Products and devices: We connect information about your activities on different Facebook Products and devices to provide a more tailored and consistent experience on all Facebook Products you use, wherever you use them. "
